"                 /;.,   3 ",UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Fornecedor,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,"Pagamento? 
Sim / Não",OBS:
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Equipamentos Curva A -  Contrato Sobressalentes - SETTA,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Equipamentos Curva A -  Contrato Sobressalentes - Arctech,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Equipamentos Curva A -  Contrato Sobressalentes - Romagnole,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,GOS FLORESTAL - (PRAD - Recuperação Area Ambiental),Mori,Gos Florestal,339840,,0,0.0,0.0,0.0,339840.0,0.0,339840.0,339840.0,0.0,1.0,S,GOS  -  Esse refere-se ao Contrato aprovado junto com acerto das Drenagens
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Cercamento das bacias de contenção ciclo 2,Mori,A Definir,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Cercamento das bacias de contenção ciclo 2
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Total,Mori,,686107.5,164771.5,14900,1482339.75,0.0,0.0,2348118.75,686107.5,1604811.25,2290918.75,57200.0,0.9756400735695331,0,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Conexão AT - Obras,Mori,MBA,460000,0,0,0.0,0.0,0.0,460000.0,86000.0,374000.0,460000.0,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Conexão MT - Obras,Mori,MBA,1425000,412000,709786,0.0,0.0,0.0,2546786.0,915361.03,1631424.97,2546786.0,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Construção - Serviços de Construção,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Construção - Serviços de Construção - Substituição,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Construção - RDA Interno,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Full EPC - Contrato,Mori,Weg,11753510.570999999,,0,0.0,0.0,0.0,11753510.570999999,0.0,11753510.571,11753510.571,0.0,1.0000000000000002,,
